0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
2,2,2,
70,57,77,
135,109,148,
135,110,149,
87,70,96,
24,18,25,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
37,30,41,
115,94,127,
120,98,133,
4,4,5,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
21,17,23,
174,141,192,
49,40,54,
0,0,0,
25,21,29,
63,52,70,
3,3,4,
2,2,2,
0,0,0,
0,0,0,
0,0,0,
31,25,34,
166,135,183,
89,72,99,
1,1,1,
32,26,35,
175,142,193,
126,101,139,
37,30,41,
0,0,0,
0,0,0,
8,7,8,
1,1,2,
36,28,38,
15,12,16,
118,96,131,
55,45,60,
62,51,68,
162,131,179,
118,96,131,
0,0,0,
0,0,0,
74,61,82,
0,0,0,
0,0,0,
0,0,0,
60,48,65,
0,0,0,
0,0,0,
85,69,93,
137,111,151,
0,0,0,
0,0,0,
76,61,84,
105,85,116,
40,32,44,
85,70,94,
148,119,162,
45,37,50,
0,0,0,
80,66,88,
73,60,80,
0,0,0,
0,0,0,
3,3,4,
127,104,140,
148,120,162,
144,118,159,
102,81,112,
8,7,8,
2,2,2,
100,81,111,
2,2,2,
0,0,0,
0,0,0,
0,0,0,
2,2,2,
58,47,64,
14,10,14,
0,0,0,
0,0,0,
12,9,12,
4,4,4,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0
