0,0,0,
0,0,0,
0,0,0,
0,0,0,
9,15,14,
7,11,10,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
14,23,20,
42,71,62,
42,73,62,
104,174,152,
33,56,49,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
5,10,9,
47,78,67,
53,89,75,
95,161,139,
59,98,84,
66,111,96,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
1,2,2,
63,105,92,
70,118,102,
92,155,134,
66,111,96,
63,104,90,
42,71,62,
2,4,4,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
40,68,58,
47,78,68,
31,53,45,
55,92,80,
59,98,86,
1,2,1,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
6,13,12,
50,84,73,
71,117,102,
55,92,80,
60,99,86,
1,2,1,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
41,68,59,
47,78,68,
31,52,46,
55,93,80,
59,98,84,
1,2,1,
0,0,0,
1,2,2,
64,107,92,
72,121,104,
94,156,136,
65,109,94,
63,104,90,
43,71,61,
2,4,4,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
6,9,9,
45,76,66,
53,89,75,
95,161,139,
59,97,86,
66,111,96,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
14,23,20,
42,71,62,
42,71,62,
104,174,152,
32,56,48,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
9,14,13,
7,11,10,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0
