0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
19,14,4,
117,84,22,
11,7,1,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
33,24,7,
83,61,15,
190,137,38,
208,152,41,
39,29,8,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
58,42,12,
219,159,43,
228,166,45,
77,55,14,
75,55,14,
202,147,41,
54,39,10,
0,0,0,
0,0,0,
0,0,0,
42,31,8,
146,105,29,
95,68,19,
144,104,28,
159,115,31,
176,129,34,
56,40,10,
157,114,32,
42,31,8,
0,0,0,
0,0,0,
128,94,25,
7,4,0,
212,154,43,
59,43,11,
59,44,11,
61,44,11,
213,155,42,
7,4,0,
127,92,26,
0,0,0,
0,0,0,
42,31,8,
158,116,31,
57,40,10,
176,129,34,
159,115,31,
147,107,28,
96,69,18,
146,105,29,
41,31,7,
0,0,0,
0,0,0,
0,0,0,
56,40,10,
203,147,40,
77,56,14,
77,55,14,
228,166,45,
219,159,43,
56,40,10,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
39,29,8,
208,152,41,
191,139,38,
83,61,15,
31,23,5,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
11,7,1,
116,84,23,
18,12,4,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0
